date,price,volume,year,city
2015-12-27,1.13,450816.39,2015,Boston
2015-12-27,0.93,661137.13,2015,Chicago
2015-12-27,0.8,2326942.14,2015,Los Angeles
2015-12-27,1.17,1129876.05,2015,New York
